"","[운영체제, 원리, 개념, 이해, 운영체제, 제공, 서비스, 이해, 운영체제, 설계, 구현, 이슈]"
"22723","[멀티미디어, 정보, 영상, 정보, 개념, 이해, 하드웨어, 소프트웨어, 기술, 습득, 이론, 알고리즘, 체계, 이해, 구현, 능력, 배양, 멀티미디어, 개념, 영상, 비디오, 영상, 인식, 시각, 지능, 머신, 러닝, 최근, 이슈, 러닝, 기반, 영상, 인식, 중점, 실습, 실시간, 화상, 진행, 원칙, 진행, 진행]"
"22727","[컴퓨터공학, 프로그램, 작성, 필요, 컴퓨터, 언어, 소프트웨어, 도구, 최적, 컴퓨터구조, 이해, 컴퓨터구조, 명령어, 세트, 레지스터, 기능, 블록, 구성, 내부, 구조, 메모리, 버스, 구성, 시스템, 구조, 포괄, 컴퓨터, 구성, 메모리, 입출력, 장치, 제어부, 처리속도, 메모리, 크기, 버스구조, 코아, 개수, 전력소모, 컴퓨터구조, 성능, 척도, 명령어, 세트, 레지스터, 기능, 블럭, 내부, 구조, 이해, 메모리, 구조, 이해, 보조, 기억, 장치, 컴퓨터, 장치, 이해, 컴퓨터, 제어부, 버스, 파이프라인, 구조, 이해, 컴퓨터, 성능, 분석]"
"22729","[프로그래밍, 언어, 공통, 원리, 현재, 프로그래밍, 언어, 얼마, 필요, 무엇, 프로그래밍, 환경, 효과, 운용, 언어, 무엇, 질문, 필요, 소양, 언어, 실행기, 설계, 구현, 개념, 이해, 기초, 귀납, 정의, 함수, 언어, 언어, 생김새, 의미, 환경, 실행기, 상태, 함수, 호출, 심화, 타입, 추론, 안전, 완전, 형성, 모듈, 쓰레기, 강좌, 함수, 언어, 하나]"
"22750","[컴퓨터, 소프트웨어, 산업디자인, 설계, 생산, 활용, 파악, 이로, 기초, 지식, 프로그램, 형상, 모델링, 산업디자인, 엔지니어링, 설계, 프로그램, 활용, 이론, 실습, 진행, 실제, 기업, 디자인, 시스템, 활용, 능력, 배양]"
"22751","[현실, 공감각, 소환, 가상현실, 가상공간, 디자인, 사용자인터페이스, UI설계, 기기, 연계, 운영체제, 구축, 가지, 구분, 가지, 상공, 인터페이스, 디자인, 요소, 개념, 특성, 가상, 공간, 영상, 컴퓨터, 그래픽, 영상, 장비, 제작, 기기, 연결, 증강, 정보, 체험, 콘텐츠, 제작, 교육, 의의, 제작, 입체, 영상물, 체험, 수동, 제작, 실제, 인터페이스, 디자인, 피드백, 공유, 사용자인터페이스, UI설계, 사항, 연구, 증강현실, 혼합현실, 개념, 유니티, 증강현실, 혼합현실, 콘텐츠, 개발, 연관, 설계, 실용, 겸비, 콘텐츠, 기획, 개발]"
"22752","[미래, 예측, 최선, 방법, 영역, 기술, 융합, 세기, 성장, 동력, 다종다양, 분야, 상상력, 창조, 원동력, 지식, 기술, 산업, 지도, 기술, 발전, 통사, 단계, 세기, 중반, 단계, 인간, 물질, 기계, 연구, 개발, 강조, 기술, 기계, 중심, 시대, 세기, 중반, 이후, 시작, 단계, 정보, 생명, 가치, 강조, 기술, 정보, 생명, 중심, 과학, 기술, 단계, 세기, 과학, 기술, 기술, 생명, 정보, 감성, 인간, 중심, 융합, 기술, 체제, 논리, 융합, 정도, 단계, 기술, 융합, 융합, 기술, 문화, 디지털, 아날로그, 융합, 방향, 융합, 첨단, 기술, 적용, 융합, 산물, 아날로그, 인터페이스, 설계, 가미, 애플, 제품, 인간, 실제, 동작, 가미, 닌텐도, 인간, 외로움, 사이버, 공간, 해소, 페이스북, 융합, 결과물, 융합, 궁극, 의미, 융합, 인간, 기술, 경계, 상태, 의미, 융합, 인간, 기술, 자연, 상호, 작용, 휴먼, 가치, 제안, 학제, 관점, 이해, 이질, 학문, 영역, 상호, 이해, 협력, 능력, 통합, 사고, 분석, 능력, 학제, 사고, 현상, 분석, 통합, 작업, 능력, 미래, 예측, 능력, 이론, 기술, 복합, 이해, 미래, 방향, 예측, 능력, 성찰, 능력, 융합, 관점, 중심, 개인, 사회, 환경, 문화, 고차, 성찰, 능력]"
"22753","[디자인, 마케팅, 컨설팅, 디자인마케팅, 본질, 이해, 디자인마케팅, 실무, 적용, 단계, 디자인마케팅, 규명, 영역, 다양, 체계, 학문, 내용, 현대, 기업, 과거, 이성, 중심, 소비자, 대상, 중심, 마케팅전략, 감성, 중심, 소비자, 대상, 기업, 브랜드, 인지, 중심, 감성, 마케팅전략, 전환, 이성, 중심, 마케팅전략, 감성, 중심, 디자인, 전략, 결합, 하나, 통합, 프로세스, 소비자, 접근, 감성, 마케팅, 중요, 증대, 디자인, 컨설팅, 디자인, 제품, 조형, 요소, 인터페이스, 이미지, 문화, 라이프, 스타일, 트렌드, 업무, 동시, 마케팅, 경영, 기술, 측면, 포괄, 내용, 디자인, 마케팅, 컨설팅, 고객, 라이프, 스타일, 다양, 세분, 시장, 고객, 니즈, 욕구, 라이프, 스타일, 이해, 최적, 마케팅, 기법, 활용, 방법, 습득, 목적, 디자인, 마케팅, 컨설팅, 브랜드, 중심, 비즈니스, 의미, 이해, 디자인, 마케팅, 컨설팅, 마케팅, 빅데이터, 마케팅, 뉴로, 마케팅, 최근, 주목, 기술, 마케팅, 기법, 컨설팅, 이해]"
"22754","[실감, 콘텐츠, 입감, 상호, 작용, 지능화, 특징, 현실, 경험, 제공, 콘텐츠, 가상현실, 증강현실, 혼합현실, 그램, 시대, 핵심, 서비스, 등장, 실감, 콘텐츠, 산업, 혁명, 시발점, 전망, 실감, 콘텐츠, 혁신, 성장, 실현, 핵심산업, 선정, 만큼, 킬러, 콘텐츠, 부각, 스마트, 실감, 어플리케이션, 동향, 이해, 기술, 습득, 필수, 디자이너, 측면, 어플리케이션, 개발, 필요, 기술, 프로젝트, 업무, 프로세스, 이해, 융합, 역량, 향상, 스마트실감형어플리케이션, 개발, 기술, 습득, 개인, 프로젝트, 응용, 발전]"
"22760","[전자회로, 이론, 이해, 가변성, 디자인, 재료, 센서, 액츄에이터, 컨트롤, 방식, 습득, 기반, 환경, 사용자, 사물, 인터렉션, 구조, 설계, 제품, 환경, 적용, 목적, 실시간, 상강, 병행, 예정]"
"22764","[융합학문, 인간, 인터렉티브, 컴퓨터, 시스템, 디자인, 구현, 과정, 주요, 현상, 연구, 학문, 유저, 인터페이스, 설계, 필요, 지식, 인지, 사회, 감성, 인간학, 작업, 도구, 문화, 조직, 사회, 타인, 이해, 다양, 연관, 학문, 컴퓨터과학, 인지, 심리학, 조직, 심리학, 인간공학, 인공, 지능, 언어학, 철학, 사회학, 인류학, 디자인, 기계공학, 다양, 기초, 응용, 지식, 습득, 다양, 응용, 사례, 프로젝트, 기반, 제품, 개발, 과정, 경험, 기회, 제공, 기초, 응용, 지식, 습득, 다양, 응용, 사례, 프로젝트, 바탕, 제품, 개발, 과정, 이해]"
"22765","[게임, 엔진, 환경, 프로그래밍, 언어, 게임, 개발, 학생, 변수, 메서드, 컬렉션, 논리, 루프, 패턴, 언어, 사항, 객체, 지향, 프로그래밍, 핵심, 개념, 언어, 문법, 사용법, 게임]"
"22766","[디지털, 헬스케어, 서비스, 필요, 대두, 이슈, 분야, 디지털, 헬스케어, 기초, 지식, 배양, 최신, 트렌드, 팀프로젝트, 실용, 디지털, 헬스케어, 아이디어, 융합, 사고, 배양, 디지털, 헬스케어, 개념, 최신, 트렌드, 최신, 트렌드, 기반, 아이디어, 도출, 융합, 사고, 목적]"
"22767","[실시간, 진행, 공연예술, 전시, 이벤트, 관객, 컨텐츠, 조우, 독특, 형식, 공연예술, 분야, 관객, 중요, 제작, 요소, 무대공간, 구조, 예술, 의미, 예술, 이해, 공연, 예술, 특징, 구성, 필요, 인문학, 기술, 제반, 요소, 차세대, 다중, 예술, 분야, 핵심, 위치, 차지, 예측, 공연, 산업, 필수, 기술, 요소, 계획, 디자인, 역량, 공연예술, 정의, 배경, 이해, 공연예술, 구성, 예술요소, 공간, 요소, 기술요소, 사회, 환경, 요소, 이해, 문화, 예술, 창조자, 향수, 예술, 유대, 교감, 공연예술, 에너지, 가치, 이해, 차세대, 미디어, 공연, 아이디어, 디자인, 역량, 연결, 기회]"
"22773","[전자회로, 이론, 이해, 가변성, 디자인, 재료, 센서, 액츄에이터, 컨트롤, 방식, 습득, 기반, 환경, 사용자, 사물, 인터렉션, 구조, 설계, 제품, 환경, 적용, 목적, 실시간, 상강, 병행, 예정]"
"22774","[웹애플리케이션, 전반, 제작, 과정, 필요, 지식, 반응, 애플리케이션, 이해, 페이지, 애플리케이션, 제작, 부트스트랩, 기능, 이용, 기존, 사이트, 부트스트랩, 활용, 코딩]"
"22776","[대학원, 학과, 관심, 학생, 대상, 연구, 실습, 연구실, 실습, 때문, 강사, 사전, 연구, 주제, 상담, 강사, 허락, 수강, 신청]"
"22777","[융합학문, 인간, 인터렉티브, 컴퓨터, 시스템, 디자인, 구현, 과정, 주요, 현상, 연구, 학문, 유저, 인터페이스, 설계, 필요, 지식, 인지, 사회, 감성, 인간학, 작업, 도구, 문화, 조직, 사회, 타인, 이해, 다양, 연관, 학문, 컴퓨터과학, 인지, 심리학, 조직, 심리학, 인간공학, 인공, 지능, 언어학, 철학, 사회학, 인류학, 디자인, 기계공학, 다양, 기초, 응용, 지식, 습득, 다양, 응용, 사례, 프로젝트, 기반, 제품, 개발, 과정, 경험, 기회, 제공, 기초, 응용, 지식, 습득, 다양, 응용, 사례, 프로젝트, 바탕, 제품, 개발, 과정, 이해]"
"22778","[디지털미디어콘텐츠, 기획, 강좌, 미디어콘텐츠, 이해, 영상, 콘텐츠, 기획, 창작, 실행, 과정, 과정, 미디어콘텐츠, 영역, 웹툰, 역할, 스토리텔링, 기획, 이미지, 텔링, 제작, 프로그램, 미디어콘텐츠, 기획, 스토리텔링, 과정, 콘텐츠, 기획, 이론, 실제, 진행, 추후, 대면, 필요, 예정]"
"22779","[기계, 방법, 기계, 기계, 과업, 데이, 경험, 데이터, 의미, 정보, 지식, 자동, 추출, 기계, 핵심, 질문, 기계학습, 개념, 방법, 알고리즘, 본교, 학생, 확률론, 통계학, 선형대수학, 핵심, 지식, 습득, 분류, 예측, 군집, 기계, 방법, 원리, 이해, 기계학습, 문제, 프로그래밍, 실습, 구현, 능력, 개발, 영상, 월요일, 질의, 응답, 중심, 실시간, 금요일, 진행, 석사, 공통, 학부, 상대, 대학원, 상대, 적용, 부여]"
"22780","[최근, 디지털, 콘텐츠, 발전, 데이터, 증가, 정보, 증가, 정보, 차트, 지도, 다이어그램, 흐름, 표현, 정보, 전달, 중요, 역할, 데이터, 인포그래픽, 정보, 편리, 이론, 실습, 정보, 이해, 해석, 부분, 중점, 진행, 데이터, 이해, 정보, 이해, 바탕, 정보, 그래픽, 표현, 정보, 습득, 시간, 단축, 기억, 지속력, 과거로, 인포그래픽, 현재, 발전, 전달, 그래픽, 표현, 목적, 정보, 이해, 분류, 표현, 부분, 중점, 이론, 실습, 미디어, 인포, 그래픽스, 진행]"
"22781","[콘텐츠, 기반, 디지털마케팅, 이해, 디지털, 디지털콘텐츠, 방향, 파악, 인터넷, 디지털마케팅, 콘텐츠, 이해, 디지털콘텐츠, 과정, 콘텐츠, 디지털마케팅, 실행, 비지니스, 이해, 이론, 동영상, 실습, 대면, 원칙, 하나, 가능, 실습, 진행]"
"22782","[소셜미디어, 포괄, 개념, 일환, 소셜미디어, 성격, 범위, 종류, 이해력, 소셜미디어, 저널, 역할, 대표, 소셜미디어, 사례, 속성, 컨셉, 이해, 동시, 마케팅, 도구, 역할, 일반, 소셜미디어, 검색분석, 소셜데이터, 중요, 사고력, 일반, 광고, 패인, 글로벌, 트렌드, 중심, 포괄, 진행, 대면, 병행, 학생, 안전, 기반, 블랙보드, 실시간, 화상, 진행, 학생, 비디오, 오디오, 오픈, 실습, 학생, 개인, 역량, 과제, 학생, 자율, 의견, 사고력]"
"22783","[대학원, 학과, 관심, 학생, 대상, 연구, 실습, 연구실, 실습, 때문, 강사, 사전, 연구, 주제, 상담, 강사, 허락, 수강, 신청]"
"22784","[공학도, 기업가정신, 창업, 컴퓨터, 비즈니스, 이해, 창업, 필요, 경영, 지식, 함양, 창업, 필요, 개념, 숙지, 아이디어, 수집, 비즈니스모델, 예상, 구현모델, 과정, 이해, 제품, 서비스, 구현, 실제, 창업, 경험, 체득, 토로, 세부, 내용, 창업프로세스, 창업, 구성, 아이디어, 개발, 선행기술조사, 아이디어, 구체, 시장, 경쟁사, 분석, 비즈니스, 모델, 설계, 사업계획서, 작성, 제품, 개발, 기반, 창업, 준비, 창업, 역량, 창업, 이론, 프로젝트, 실습, 중심, 운영, 창업, 동아리, 타과, 학생, 창업, 캡스톤디자인, 창업, 캡스톤디자인, 학제간, 교류, 필요, 통합, 구성, 예정, 프로젝트, 실습, 멘토, 자율, 진행]"
"22785","[융합, 학부, 학생, 산업체, 제시, 과제, 기술, 적용, 융합, 기법, 실무, 미래, 유망, 산업, 필수, 융합, 능력, 배양, 목적, 단위, 융합, 프로젝트, 기반, 융합, 기법, 융합, 프로젝트, 필요, 발표력, 팀웍, 의사소통, 능력, 습득, 융합, 필요, 실무, 기술, 주기, 기업체, 멘토, 진행, 현황, 논의, 완성, 융합, 학부, 학생, 산업체, 요구, 능력, 배양, 학부, 이론, 바탕, 공동, 작품, 설계, 해결, 기법]"
"22786","[리빙랩, 현장, 중심, 실험, 실증, 방법, 최근, 학계, 산업, 현장, 각광, 학생, 리빙랩, 정의, 개념, 이해, 방법론, 실제, 리빙랩, 사례, 현장, 경험, 리빙랩, 이론, 실제, 경험, 수학, 산업, 혁명, 패러다임, 전환기, 리빙랩, 실천, 방법, 주목, 시점, 중심, 플랫폼, 이해, 과학, 기술, 패러다임, 이해, 중심, 문제, 발견, 해결, 사고, 능력, 함양, 대면, 학교, 방침, 강의, 중심, 진행]"
"22787","[대학원, 학과, 관심, 학생, 대상, 연구, 실습, 연구실, 실습, 때문, 강사, 사전, 연구, 주제, 상담, 강사, 허락, 수강, 신청]"
"23094","[사회, 진출, 준비, 저학년, 학생, 직업, 세계, 이해, 취업, 스타트업, 진로탐색, 미래설계, 기회, 제공, 기반, 문제, 해결, 자기, 분석, 진로탐색, 실습, 과제, 학생, 사회, 진출, 진로설계, 효율, 대학, 생활, 지원, 진로탐색, 진로설정, 과제, 장기, 미래설계, 기회, 제공, 미래, 직업, 세계, 탐구, 진로설계, 지원, 대학, 기간, 자기, 계발, 효과, 경력, 지원]"
"23550","[기호논리학, 기초, 증명, 작성, 방법, 증명, 이해, 방법, 공부, 리언, 대수, 체계, 논증과정, 증명, 시스템, 내용, 내용, 학부, 프로그램, 설계, 검증, 능력, 기초, 내용, 명제, 논리, 술어, 논리, 논리, 문장, 작성, 방법, 논리문장, 작성, 주장, 정형, 검증, 증명]"
"23551","[기호논리학, 기초, 증명, 작성, 방법, 증명, 이해, 방법, 공부, 리언, 대수, 체계, 논증과정, 증명, 시스템, 내용, 내용, 학부, 프로그램, 설계, 검증, 능력, 기초, 내용, 명제, 논리, 술어, 논리, 논리, 문장, 작성, 방법, 논리문장, 작성, 주장, 정형, 검증, 증명]"
"23552","[컴퓨터, 문제, 해결, 핵심, 제어구조, 설계, 작성, 원리, 프로그램, 작성, 프로그래밍, 사전, 지식, 필요, 언어, 컴퓨터, 프로그램, 핵심, 제어, 구조, 설계, 원리, 실습, 숙달, 문제, 중심, 방식, 진행, 실습, 문제, 문제, 원리, 비디오, 사전, 실시간, 응답, 개인, 컴퓨터, 문제, 실습, 진행, 프로그래밍, 숙제, 해결, 능력, 내용, 활용, 보드게임, 카드, 게임, 프로그램, 구성, 제안, 구현, 발표, 시연, 코딩, 실시, 오프라인, 시행, 원칙]"
"23553","[컴퓨터, 문제, 해결, 핵심, 제어구조, 설계, 작성, 원리, 프로그램, 작성, 프로그래밍, 사전, 지식, 필요, 언어, 컴퓨터, 프로그램, 핵심, 제어, 구조, 설계, 원리, 실습, 숙달, 문제, 중심, 방식, 진행, 실습, 문제, 문제, 원리, 비디오, 사전, 실시간, 응답, 개인, 컴퓨터, 문제, 실습, 진행, 프로그래밍, 숙제, 해결, 능력, 내용, 활용, 보드게임, 카드, 게임, 프로그램, 구성, 제안, 구현, 발표, 시연, 코딩, 실시, 오프라인, 시행, 원칙]"
"23554","[소프트웨어, 기술, 개념, 프로그램, 제작, 기법, 연습, 4차산업혁명, 인공지능, 로봇공학, 제조혁신, 기술, 혁신, 사례, 소프트웨어, 기술, 중요, 필요, 동작원리, 활용분야, 소프트웨어, 제작, 기술, 소프트웨어, 설계, 기술, 프로그램, 제작, 구분, 학생, 각자, 다양, 소프트웨어, 기반, 사회, 미래, 주도, 인재, 이해, 소프트웨어, 개념, 동작원리, 습득, 제작법, 경험, 소프트웨어, 기술, 자신, 활용, 적용, 기초, 소양, 함양, 해당, 주차, 수행, 부여, 방법, 항목, 진도, 과제]"
"23556","[산업, 혁명, 시대, 주목, 인공지능, 기초, 이론, 인공지능, 이론, 부분, 파이썬, 프로그래밍, 언어, 머신러닝, 딥러닝, 라이브러리, 활용, 코딩, 실습, 교육, 진행, 인공지능, 이해, 파이썬, 프로그래밍언어, 이해, 인공지능, 실습, 인공지능, 이해]"
"23557","[산업, 혁명, 시대, 주목, 인공지능, 기초, 이론, 인공지능, 이론, 부분, 파이썬, 프로그래밍, 언어, 머신러닝, 딥러닝, 라이브러리, 활용, 코딩, 실습, 교육, 진행, 인공지능, 이해, 파이썬, 프로그래밍언어, 이해, 인공지능, 실습, 인공지능, 이해]"
"23558","[자연과학, 기초, 물리학, 이공계, 학생, 이해, 문제, 중요, 물리, 법칙, 개념, 파악, 실제, 자연, 현상, 형식, 적용, 이해, 능력, 물리학, 원리, 개념, 파악, 적용, 연습문제, 문제, 풀이]"
"23559","[과학, 공학, 이공계, 학생, 대상, 물리학, 원리, 개념, 주요, 내용, 뉴턴, 역학, 파동, 열역학, 사태, 진정, 관계, 원격수업, 기반, 성실, 학생, 학생, 직접, 유도, 수동, 학생, 유의, 수강신청, 물리, 인식, 탈피, 주위, 일상, 자연현상, 일상, 생활, 사물, 이해, 관심, 물리, 흥미, 물리, 인식, 전환, 예정, 단위, 중요, 강조, 물리학, 벡터, 기초, 지식, 습관화, 유도, 수식, 전개, 개념, 설명, 학생, 관심, 유도, 교재, 내용, 학생, 공부, 문제, 풀이, 과제, 계획, 능동, 평소, 본인, 질문, 토의, 게시판, 학생, 항목, 점수, 부과, 대체, 기간, 내용, 문답, 이해, 확인, 평가, 평가, 이상, 결석, 양방, 향임, 명심, 수동, 적극, 참여, 교재, 본문, 확인, 문제, 본문, 내용, 연장선, 이해, 질문, 나중, 성실, 직결, 참여, 과제, 의논, 이해, 공부, 장려, 출시, 각자, 본인, 능력, 작성, 원칙, 과제, 경우, 작성자, 학생, 처리]"
"23560","[물리학, 자연, 현상, 과학, 탐구, 이해, 학문, 관찰, 실험, 필수, 획득, 실험, 결과, 이론, 체계, 비교, 설명, 가지, 성공, 결과, 해석, 물리학, 지식, 체계, 과정, 기초, 실험, 결과, 일반, 물리학, 시간, 내용, 비교, 주제, 이해, 학생, 실험, 문제, 해결, 방법, 도움, 이론, 일반, 물리학, 개념, 실험, 이해, 일반, 물리학, 주제, 일상, 생활, 역학, 실험, 구성, 길이, 정밀, 측정, 시작, 자유, 낙하, 운동, 뉴턴, 법칙, 에너지, 운동량, 보존, 법칙, 시간, 내용, 실험, 확인, 기회, 일반, 물리학, 이론, 내용, 실험, 확인, 이해, 학생, 실험, 실험, 문제, 해결, 방법, 해당, 학과, 개설, 일반, 물리학, 실험, 수강, 원칙, 해당, 실험실, 사정, 일부, 실험, 종목, 사항, 공학, 계산기, 일반, 물리, 실험교, 지참, 실험, 부상, 노출, 복장, 실험, 반시, 태도, 점수, 실험실, 음식물, 반입, 반시, 태도, 점수, 제물, 기말, 과제, 제외, 대면, 실험, 리포트, 기말, 과제, 태도, 점, 삭감, 점수, 점수, 기말, 과제, 상황, 위원회, 결정, 동영상, 대체]"
